gene,log2FC,p-value
gene_10803,-0.415671801305808,7.97619793633242e-05
gene_10810,-0.537473457981588,0.102606167534171
gene_10818,0.25414077775313,0.907400227369621
gene_11007,-0.641879977198481,0.172762901893574
gene_11009,0.403423346094555,1.5738744273408e-06
gene_11021,-0.579250014017662,3.18411963462495e-13
gene_11028,-0.57493218793969,0.329405768009327
gene_11105,0.093397794833624,0.728290760835681
gene_11114,-0.906629481054811,0
gene_11132,0.611915774774815,2.31966179597975e-09
gene_11143,-0.0931981305495333,0.980771763351145
gene_11198,0.139164414687058,0.865826665092966
gene_11201,0.897809878089589,0.000122101012801412
gene_11243,0.735408694425646,0
gene_11258,1.26355481665656,5.50670620214078e-14
gene_11260,-1.02430406766793,1.63502011929495e-08
gene_11275,-0.465196553359258,0
gene_11295,0.0891948070666861,0.849281289881625
gene_11304,-0.701646195092646,4.64254634735539e-09
gene_11332,-2.36560012953045,1.16440974640142e-08
gene_11347,2.26318843110967,1.51807344472843e-10
gene_11376,-1.22996925301105,2.19935181178244e-13
gene_11405,-0.321905653613862,0.00135082120475583
gene_11422,-0.25359321926026,0.891372821985687
gene_11426,-3.89280879493183,3.19189119579733e-13
gene_11451,-0.0395982837238627,0.927875310531533
gene_11454,-0.157956213272041,0.785873217487447
gene_11478,-0.440363161634859,0.00020824180328971
gene_11485,-1.10548943647706,4.50904648063855e-08
gene_11523,-0.168102962668749,0.861134258603496
gene_11566,0.756754834044396,0.27721467152735
gene_11590,1.79477050396554,0.0286140604417062
gene_11638,1.7056540100834,0
gene_11677,0.721836072797265,0.00184870416256211
gene_12048,-4.08216998494403,0
gene_12061,-1.79043247777636,0
gene_12171,3.33327297145077,0
gene_12174,-0.147371816885905,0.462942317636724
gene_12211,-0.410492676361855,0.013027651974811
gene_12232,-1.12440024178573,0
gene_12504,7.98547993194127,0
gene_12660,-1.03228556165454,0
gene_12779,3.57540095757778,0.00272777255796719
gene_12817,0.50895115305664,0
gene_12822,1.86130756387738,0
gene_12963,-1.7525395330818,0
gene_12983,0.66517209247191,2.66615618471633e-11
gene_13016,1.74315738021051,0.0041670382250073
gene_13275,-0.393733468075733,0.408299253855442
gene_13288,0.895044140519692,0.00287883343653883
gene_13297,-1.4145357277898,4.45710445250436e-05
gene_13306,-0.700005901815752,0
gene_13364,0.35316349413294,0.00841099316144012
gene_13374,0.695340008704987,0
gene_13375,-0.296118600133643,0.148817428212199
gene_13392,0.533988146129457,0.000172220392903766
gene_13441,0.851536145584244,0
gene_13503,-1.30506763748711,0
gene_13523,-0.219586467540151,0.43671125204297
gene_13561,-0.545962855506041,0.000357791968323751
gene_13563,-0.269091425193719,0.124718891280061
